Rank,Name,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,User_Score,Year,Sales,Critic_Score_boxcox,User_Score_boxcox
3,Mario Kart Wii,9,3,13,27,83,8.2,9.1,2008.0,37.14,2.056559641105323,1.2185684511212578
5,Wii Sports Resort,13,3,13,27,83,8.0,8.8,2009.0,33.09,2.032968794763432,1.209661675777561
7,New Super Mario Bros.,7,3,1,27,83,9.1,8.1,2006.0,30.8,2.155913504177124,1.1868478680746528
9,New Super Mario Bros. Wii,7,3,13,27,83,8.6,9.2,2009.0,30.22,2.102026672523484,1.221433422656777
12,Wii Play,5,3,13,27,83,5.9,4.5,2007.0,28.02,1.7410184762456495,0.98766741720426
15,Mario Kart DS,9,3,1,27,83,9.1,9.4,2005.0,23.6,2.155913504177124,1.2270161111084543
29,Pokemon X/Y,10,3,0,27,48,8.9,9.7,2013.0,16.37,2.1347307114734755,1.2350418743440592
34,Pokemon Black / White Version,10,3,1,27,48,8.6,9.0,2011.0,15.64,2.102026672523484,1.2156525053377367
44,Halo 3,11,6,15,21,15,9.6,9.5,2007.0,14.5,2.2068560967923654,1.229736527294403
50,Call of Duty: Modern Warfare 2,11,6,15,1,56,9.5,9.0,2009.0,13.53,2.1968879170204083,1.2156525053377367
53,Super Smash Bros. Brawl,3,5,13,27,91,9.2,9.7,2008.0,13.29,2.1663271785461173,1.2350418743440592
58,Super Mario Galaxy,7,3,13,27,84,9.7,9.6,2007.0,12.78,2.2167187353492217,1.2324113729573496
64,Super Smash Bros. Ultimate,3,4,4,27,7,9.4,9.7,2018.0,12.08,2.186811937663683,1.2350418743440592
72,The Legend of Zelda: Breath of the Wild,1,4,4,27,85,9.9,10.0,2017.0,11.68,2.2361360752119968,1.2426789098694524
80,Grand Theft Auto IV,0,6,8,30,102,10.0,9.0,2008.0,10.57,2.2456949546011677,1.2156525053377367
85,Horizon: Zero Dawn,0,5,9,33,52,9.1,8.0,2017.0,10.0,2.155913504177124,1.1833291027698085
91,Final Fantasy VII,10,5,6,32,115,9.6,9.5,1997.0,9.9,2.2068560967923654,1.229736527294403
95,Call of Duty 4: Modern Warfare,11,6,15,1,56,9.6,9.0,2007.0,9.41,2.2068560967923654,1.2156525053377367
108,Grand Theft Auto V,0,6,18,30,102,9.0,9.0,2014.0,8.72,2.1453822341237494,1.2156525053377367
111,Final Fantasy X,10,5,7,34,115,9.0,10.0,2001.0,8.6,2.1453822341237494,1.2426789098694524
112,Pokemon Black 2 and White 2,10,3,1,27,48,8.0,8.3,2012.0,8.52,2.032968794763432,1.193680474153519
127,Pokemon Platinum Version,10,3,1,27,48,8.3,8.9,2009.0,7.6,2.0681355047937178,1.2126840967047017
128,The Legend of Zelda: Ocarina of Time,2,3,3,27,83,9.9,10.0,1998.0,7.6,2.2361360752119968,1.2426789098694524
131,Call of Duty: World at War,11,6,15,1,123,8.5,7.8,2008.0,7.5,2.0908656916242108,1.1760752893133055
133,Super Mario Galaxy 2,7,3,13,27,84,9.7,9.8,2010.0,7.41,2.2167187353492217,1.2376292125035737
137,The Legend of Zelda: Twilight Princess,2,5,13,27,83,9.5,9.6,2006.0,7.26,2.1968879170204083,1.2324113729573496
148,Uncharted 3: Drake's Deception,0,5,8,32,80,9.3,6.3,2011.0,6.84,2.176625827353189,1.1102549159545012
152,Uncharted 2: Among Thieves,0,5,8,32,80,9.5,9.6,2009.0,6.74,2.1968879170204083,1.2324113729573496
153,Call of Duty 4: Modern Warfare,11,6,8,1,56,9.5,9.6,2007.0,6.72,2.1968879170204083,1.2324113729573496
161,Red Dead Redemption,0,6,15,30,103,9.5,10.0,2010.0,6.5,2.1968879170204083,1.2426789098694524
163,Final Fantasy XII,10,5,7,35,114,9.4,9.5,2006.0,6.4,2.186811937663683,1.229736527294403
177,Metal Gear Solid 2: Sons of Liberty,0,6,7,17,65,9.5,7.0,2001.0,6.05,2.1968879170204083,1.1437879618140283
181,Metal Gear Solid 4: Guns of the Patriots,0,6,8,17,62,9.3,9.8,2008.0,6.0,2.176625827353189,1.2376292125035737
185,LittleBigPlanet,7,3,8,32,73,9.4,9.2,2008.0,5.85,2.186811937663683,1.221433422656777
203,Assassin's Creed,0,6,15,39,126,8.2,8.0,2007.0,5.55,2.056559641105323,1.1833291027698085
205,Forza Motorsport 3,9,3,15,21,124,9.2,9.8,2009.0,5.5,2.1663271785461173,1.2376292125035737
217,Final Fantasy XIII,10,5,8,35,114,8.0,9.2,2010.0,5.35,2.032968794763432,1.221433422656777
234,God of War III,0,6,8,32,105,9.2,9.4,2010.0,5.2,2.1663271785461173,1.2270161111084543
244,Resident Evil 5,0,6,8,7,16,8.6,8.8,2009.0,5.1,2.102026672523484,1.209661675777561
256,Gears of War,11,6,15,21,40,9.4,9.4,2006.0,5.0,2.186811937663683,1.2270161111084543
257,Gears of War 2,11,6,15,21,40,9.4,9.5,2008.0,5.0,2.186811937663683,1.229736527294403
262,Uncharted: Drake's Fortune,0,5,8,32,80,8.7,8.6,2007.0,4.97,2.113055822886608,1.2034482755595182
264,Fallout 3,10,6,15,5,9,9.0,8.6,2008.0,4.96,2.1453822341237494,1.2034482755595182
275,Assassin's Creed,0,6,8,39,126,8.2,8.5,2007.0,4.83,2.056559641105323,1.2002538631850523
285,Monster Hunter: World,0,5,9,7,16,9.3,9.0,2018.0,4.67,2.176625827353189,1.2156525053377367
286,Gran Turismo,9,3,11,32,90,7.7,9.5,2009.0,4.67,1.9964279097031141,1.229736527294403
321,Resistance: Fall of Man,11,6,8,32,57,8.5,9.1,2006.0,4.37,2.0908656916242108,1.2185684511212578
325,Animal Crossing: City Folk,12,3,13,27,83,7.1,8.8,2008.0,4.32,1.9187678386322737,1.209661675777561
332,God of War II,0,6,7,32,105,9.3,9.8,2007.0,4.24,2.176625827353189,1.2376292125035737
341,Street Fighter IV,3,5,8,7,17,9.3,9.0,2009.0,4.19,2.176625827353189,1.2156525053377367
376,World of Warcraft: Wrath of the Lich King,4,5,5,6,12,9.3,9.3,2008.0,4.0,2.176625827353189,1.2242488507217923
400,Monster Hunter Freedom Unite,10,5,11,7,18,7.7,9.7,2009.0,3.8,1.9964279097031141,1.2350418743440592
417,Banjo-Kazooie,7,3,3,27,94,9.3,9.4,1998.0,3.65,2.176625827353189,1.2270161111084543
420,Jak and Daxter: The Precursor Legacy,7,3,7,32,80,9.0,8.9,2001.0,3.64,2.1453822341237494,1.2126840967047017
450,Left 4 Dead,11,6,15,40,22,8.7,9.0,2008.0,3.52,2.113055822886608,1.2156525053377367
452,Fable II,10,6,15,21,69,9.0,9.3,2008.0,3.5,2.1453822341237494,1.2242488507217923
459,Battlefield: Bad Company 2,11,6,15,11,34,9.0,9.3,2010.0,3.48,2.1453822341237494,1.2242488507217923
463,Guitar Hero: On Tour,5,4,1,1,135,7.1,8.1,2008.0,3.46,1.9187678386322737,1.1868478680746528
505,God of War: Chains of Olympus,0,6,11,32,96,8.9,9.5,2008.0,3.26,2.1347307114734755,1.229736527294403
538,Mass Effect 2,10,6,15,11,11,9.5,8.9,2010.0,3.1,2.1968879170204083,1.2126840967047017
546,Heavy Rain,2,6,8,32,92,8.8,8.6,2010.0,3.06,2.1239561885789233,1.2034482755595182
555,Tom Clancy's Splinter Cell,0,5,16,39,125,9.3,9.1,2002.0,3.02,2.176625827353189,1.2185684511212578
560,Killzone 2,11,6,8,32,52,9.1,9.3,2009.0,3.02,2.155913504177124,1.2242488507217923
561,Crysis,11,6,5,11,30,9.2,8.5,2007.0,3.0,2.1663271785461173,1.2002538631850523
573,inFAMOUS,0,5,8,32,116,8.7,9.1,2009.0,2.99,2.113055822886608,1.2185684511212578
581,Battlefield: Bad Company 2,11,6,8,11,34,8.9,8.8,2010.0,2.96,2.1347307114734755,1.209661675777561
584,Street Fighter IV,3,5,15,7,17,9.3,9.3,2009.0,2.95,2.176625827353189,1.2242488507217923
593,Mass Effect,10,6,15,21,11,9.2,9.1,2007.0,2.91,2.1663271785461173,1.2185684511212578
619,Metroid Prime,11,5,2,27,99,9.6,9.5,2002.0,2.84,2.2068560967923654,1.229736527294403
622,BioShock,11,6,15,0,0,9.6,9.5,2007.0,2.83,2.2068560967923654,1.229736527294403
668,Call of Duty 3,11,5,15,1,123,8.0,8.4,2006.0,2.7,2.032968794763432,1.196998564812187
674,Halo Wars,14,5,15,21,39,8.1,8.5,2009.0,2.67,2.0448386198876856,1.2002538631850523
729,Crisis Core: Final Fantasy VII,10,5,11,35,114,8.1,9.0,2008.0,2.5,2.0448386198876856,1.2156525053377367
753,Resistance 2,11,6,8,32,57,8.5,8.7,2008.0,2.47,2.0908656916242108,1.2065836290555187
767,Kirby Star Allies,7,4,4,27,53,8.1,10.0,2018.0,2.42,2.0448386198876856,1.2426789098694524
836,Resident Evil 4,0,6,7,7,20,9.6,9.3,2005.0,2.3,2.2068560967923654,1.2242488507217923
858,Guitar Hero III: Legends of Rock,5,5,8,29,81,8.2,8.0,2007.0,2.25,2.056559641105323,1.1833291027698085
861,Call of Duty 3,11,5,13,1,37,6.8,7.3,2006.0,2.24,1.8773837888043774,1.1565601109148895
870,Prince of Persia: The Sands of Time,2,5,7,39,126,9.0,9.1,2003.0,2.22,2.1453822341237494,1.2185684511212578
909,Devil May Cry,0,6,7,7,16,9.1,9.3,2001.0,2.16,2.155913504177124,1.2242488507217923
955,Donkey Kong Country: Tropical Freeze,7,3,4,27,99,9.1,9.1,2018.0,2.08,2.155913504177124,1.2185684511212578
969,Call of Duty 2,11,5,15,1,56,8.8,9.1,2005.0,2.06,2.1239561885789233,1.2185684511212578
999,Onimusha: Warlords,0,6,7,7,43,8.7,7.3,2001.0,2.02,2.113055822886608,1.1565601109148895
1027,Donkey Kong Country: Tropical Freeze,7,3,14,27,99,8.8,9.1,2014.0,1.98,2.1239561885789233,1.2185684511212578
1058,Call of Duty: World at War,11,6,13,1,37,8.1,8.9,2008.0,1.94,2.0448386198876856,1.2126840967047017
1081,Dissidia: Final Fantasy,3,5,11,35,114,8.1,10.0,2009.0,1.9,2.0448386198876856,1.2426789098694524
1084,Monster Hunter Tri,10,5,13,7,18,8.1,10.0,2010.0,1.9,2.0448386198876856,1.2426789098694524
1090,Ratchet & Clank Future: A Crack in Time,7,4,8,32,57,8.7,9.0,2009.0,1.89,2.113055822886608,1.2156525053377367
1105,Star Wars: The Force Unleashed,0,5,13,18,67,6.8,7.4,2008.0,1.86,1.8773837888043774,1.1606320000389665
1111,The Legend of Dragoon,10,5,6,32,106,7.8,6.5,2000.0,1.86,2.008767447051412,1.1204255054291363
1134,Demon's Souls,10,6,8,4,44,9.1,9.5,2009.0,1.83,2.155913504177124,1.229736527294403
