Rank,Name,Platform,Publisher,Developer,Year,Sales,Sales_scaled,ESRB_Rating_scaled,Genre_scaled,Platform_scaled,Publisher_scaled,Developer_scaled,Year_scaled,Critic_Score_boxcox_scaled,User_Score_boxcox_scaled
29,Pokemon X/Y,0,27,48,2013.0,16.37,0.44076467420570814,0.0,0.7142857142857142,0.0,0.627906976744186,0.3356643356643357,0.7727272727272663,0.4470618335906197,0.5284228328989069
34,Pokemon Black / White Version,1,27,48,2011.0,15.64,0.42110931610123853,0.0,0.7142857142857142,0.05555555555555555,0.627906976744186,0.3356643356643357,0.6818181818181728,0.43079735325566315,0.49631012983250167
44,Halo 3,15,21,15,2007.0,14.5,0.39041464728056,1.0,0.7857142857142857,0.8333333333333333,0.4883720930232558,0.1048951048951049,0.5,0.4829314677041322,0.5196361088742993
50,Call of Duty: Modern Warfare 2,15,1,56,2009.0,13.53,0.36429725363489496,1.0,0.7857142857142857,0.8333333333333333,0.023255813953488372,0.3916083916083916,0.5909090909090935,0.4779740597177907,0.49631012983250167
53,Super Smash Bros. Brawl,13,27,91,2008.0,13.29,0.35783521809369945,0.6666666666666665,0.21428571428571427,0.7222222222222222,0.627906976744186,0.6363636363636364,0.5454545454545467,0.4627754926326392,0.5284228328989069
58,Super Mario Galaxy,13,27,84,2007.0,12.78,0.34410339256865907,0.0,0.5,0.7222222222222222,0.627906976744186,0.5874125874125874,0.5,0.487836387585865,0.5240661924161956
64,Super Smash Bros. Ultimate,4,27,7,2018.0,12.08,0.325255788906839,0.33333333333333326,0.21428571428571427,0.2222222222222222,0.627906976744186,0.04895104895104895,1.0,0.47296304048700166,0.5284228328989069
72,The Legend of Zelda: Breath of the Wild,4,27,85,2017.0,11.68,0.31448572967151317,0.33333333333333326,0.07142857142857142,0.2222222222222222,0.627906976744186,0.5944055944055944,0.9545454545454533,0.49749308298175154,0.5410713029989174
80,Grand Theft Auto IV,8,30,102,2008.0,10.57,0.2845988152934841,1.0,0.0,0.4444444444444444,0.6976744186046512,0.7132867132867133,0.5454545454545467,0.5022469363540257,0.49631012983250167
85,Horizon: Zero Dawn,9,33,52,2017.0,10.0,0.2692514808831448,0.6666666666666665,0.0,0.5,0.7674418604651163,0.36363636363636365,0.9545454545454533,0.45759652980642274,0.44277606029051264
91,Final Fantasy VII,6,32,115,1997.0,9.9,0.2665589660743134,0.6666666666666665,0.7142857142857142,0.3333333333333333,0.7441860465116279,0.8041958041958042,0.045454545454546746,0.4829314677041322,0.5196361088742993
95,Call of Duty 4: Modern Warfare,15,1,56,2007.0,9.41,0.2533656435110393,1.0,0.7857142857142857,0.8333333333333333,0.023255813953488372,0.3916083916083916,0.5,0.4829314677041322,0.49631012983250167
108,Grand Theft Auto V,18,30,102,2014.0,8.72,0.23478729133010232,1.0,0.0,1.0,0.6976744186046512,0.7132867132867133,0.818181818181813,0.45235908390724366,0.49631012983250167
111,Final Fantasy X,7,34,115,2001.0,8.6,0.23155627355950456,0.6666666666666665,0.7142857142857142,0.38888888888888884,0.7906976744186046,0.8041958041958042,0.22727272727271952,0.45235908390724366,0.5410713029989174
112,Pokemon Black 2 and White 2,1,27,48,2012.0,8.52,0.22940226171243938,0.0,0.7142857142857142,0.05555555555555555,0.627906976744186,0.3356643356643357,0.7272727272727195,0.39645326210167087,0.45992001765533397
127,Pokemon Platinum Version,1,27,48,2009.0,7.6,0.20463112547119006,0.0,0.7142857142857142,0.05555555555555555,0.627906976744186,0.3356643356643357,0.5909090909090935,0.4139424861270985,0.4913938468435439
128,The Legend of Zelda: Ocarina of Time,3,27,83,1998.0,7.6,0.20463112547119006,0.0,0.14285714285714285,0.16666666666666666,0.627906976744186,0.5804195804195804,0.09090909090909349,0.49749308298175154,0.5410713029989174
131,Call of Duty: World at War,15,1,123,2008.0,7.5,0.20193861066235863,1.0,0.7857142857142857,0.8333333333333333,0.023255813953488372,0.8601398601398601,0.5454545454545467,0.42524673748515707,0.43076228317626963
133,Super Mario Galaxy 2,13,27,84,2010.0,7.41,0.19951534733441031,0.0,0.5,0.7222222222222222,0.627906976744186,0.5874125874125874,0.636363636363626,0.487836387585865,0.5327079863776907
137,The Legend of Zelda: Twilight Princess,13,27,83,2006.0,7.26,0.19547657512116315,0.6666666666666665,0.14285714285714285,0.7222222222222222,0.627906976744186,0.5804195804195804,0.45454545454545325,0.4779740597177907,0.5240661924161956
148,Uncharted 3: Drake's Deception,8,32,80,2011.0,6.84,0.18416801292407106,0.6666666666666665,0.0,0.4444444444444444,0.7441860465116279,0.5594405594405595,0.6818181818181728,0.46789725056765674,0.3217504785785039
